SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
DIXON,EQ,04-Apr-2018,3298.20,3329.95,3368.00,3282.35,3349.95,3352.25,3331.72,14050,468.11,2993,6853,48.78
DLF,EQ,04-Apr-2018,203.30,204.60,208.10,197.75,198.15,198.60,203.38,8885029,18069.95,58191,1697126,19.10
DLINKINDIA,EQ,04-Apr-2018,87.60,88.80,98.95,88.80,94.50,93.95,94.68,846039,801.05,10650,302256,35.73
DMART,EQ,04-Apr-2018,1364.30,1369.30,1385.20,1350.00,1362.15,1359.15,1368.94,682255,9339.68,28497,209295,30.68
DNAMEDIA,EQ,04-Apr-2018,7.95,7.95,8.35,7.80,7.95,7.90,7.97,23205,1.85,96,19160,82.57
DOLLAR,EQ,04-Apr-2018,400.45,400.00,402.05,395.20,401.00,399.90,400.13,53388,213.62,2457,47139,88.30
DOLPHINOFF,EQ,04-Apr-2018,86.35,87.10,88.35,84.80,85.25,85.55,86.66,140556,121.80,2023,57243,40.73
DONEAR,EQ,04-Apr-2018,54.40,54.70,57.10,54.60,57.10,57.10,56.94,25705,14.64,175,16096,62.62
DPABHUSHAN,SM,04-Apr-2018,69.10,71.00,71.00,70.00,70.00,70.00,70.50,8000,5.64,2,8000,100.00
DPL,EQ,04-Apr-2018,142.60,147.50,149.70,143.00,145.00,144.50,147.91,78351,115.89,832,38889,49.63
DPSCLTD,EQ,04-Apr-2018,27.00,27.40,28.00,26.95,27.00,27.00,27.38,85012,23.28,282,46279,54.44
DQE,EQ,04-Apr-2018,12.25,12.50,12.85,12.50,12.65,12.75,12.71,11873,1.51,32,10248,86.31
DREDGECORP,EQ,04-Apr-2018,634.70,638.40,638.45,605.20,609.90,609.55,622.38,193130,1202.01,7416,51651,26.74
DRREDDY,EQ,04-Apr-2018,2124.90,2124.00,2125.25,2079.95,2086.15,2091.40,2100.45,353719,7429.71,32917,113806,32.17
DSSL,EQ,04-Apr-2018,39.20,40.85,41.10,37.70,38.05,38.80,39.59,14946,5.92,145,8618,57.66
DTIL,EQ,04-Apr-2018,288.65,298.75,298.75,285.30,290.00,289.95,290.32,4471,12.98,85,3676,82.22
DUCON,EQ,04-Apr-2018,31.90,31.90,32.95,31.00,31.00,31.15,31.98,134807,43.11,533,90560,67.18
DWARKESH,EQ,04-Apr-2018,26.20,26.30,26.75,25.30,25.75,25.75,26.20,850298,222.76,2666,416486,48.98
